"location1","location2","mom1","dad2","attempt1","attempt2","rest.SI","pairwise"
"CHR-102","CHR-150","2811-38984","2850-57577","1","2",0.229032258064516,"2811-38984_2850-57577"
"CHR-102","CHR-32","2811-38984","2850-57731","1","3",0.203225806451613,"2811-38984_2850-57731"
"CHR-102","CHR-149","2811-38984","2850-57669","1","3",0.229032258064516,"2811-38984_2850-57669"
"CHR-96","CHR-29","2850-57568","2850-57808","1","1",0.22258064516129,"2850-57568_2850-57808"
"CHR-96","CHR-32","2850-57568","2850-57731","1","1",0.238709677419355,"2850-57568_2850-57731"
"CHR-96","CHR-102","2850-57568","2640-97589","1","1",0.229032258064516,"2850-57568_2640-97589"
"CHR-96","CHR-96","2850-57568","2850-57806","1","1",0.258064516129032,"2850-57568_2850-57806"
"CHR-96","CHR-58","2850-57568","2850-57579","1","1",0.241935483870968,"2850-57568_2850-57579"
"CHR-96","CHR-97","2850-57568","2850-57589","1","1",0.254838709677419,"2850-57568_2850-57589"
"CHR-96","CHR-7","2850-57568","unb-CHR-7and9","1","1",0.258064516129032,"2850-57568_unb-CHR-7and9"
"CHR-96","CHR-4","2850-57568","2811-83208","1","1",0.258064516129032,"2850-57568_2811-83208"
"CHR-96","CHR-33","2850-57568","2850-57669","1","1",0.258064516129032,"2850-57568_2850-57669"
"CHR-96","CHR-86","2850-57568","2850-57653","1","1",0.258064516129032,"2850-57568_2850-57653"
"CHR-96","CHR-133","2850-57568","2850-57570","1","1",0.258064516129032,"2850-57568_2850-57570"
"CHR-96","CHR-39","2850-57568","2850-57620","1","1",0.258064516129032,"2850-57568_2850-57620"
"CHR-96","CHR-25","2850-57568","2850-57881","1","1",0.238709677419355,"2850-57568_2850-57881"
"CHR-96","CHR-66","2850-57568","2850-57581","1","1",0.235483870967742,"2850-57568_2850-57581"
"CHR-96","CHR-80","2850-57568","2850-57580","1","1",0.258064516129032,"2850-57568_2850-57580"
"CHR-96","CHR-82","2850-57568","2850-57745","1","1",0.248387096774194,"2850-57568_2850-57745"
"CHR-96","CHR-78","2850-57568","2850-57744","1","1",0.258064516129032,"2850-57568_2850-57744"
"CHR-96","CHR-73","2850-57568","2850-57671","1","1",0.258064516129032,"2850-57568_2850-57671"
"CHR-96","CHR-77","2850-57568","unb-CHR-77","1","1",0.238709677419355,"2850-57568_unb-CHR-77"
"CHR-96","CHR-93","2850-57568","2640-97588","1","1",0.235483870967742,"2850-57568_2640-97588"
"CHR-96","CHR-37","2850-57568","2850-57806","1","1",0.22258064516129,"2850-57568_2850-57806"
"CHR-96","CHR-43","2850-57568","2850-57567","1","1",0.258064516129032,"2850-57568_2850-57567"
"CHR-96","CHR-76","2850-57568","unb-CHR-76and12","1","1",0.258064516129032,"2850-57568_unb-CHR-76and12"
"CHR-96","CHR-74","2850-57568","2850-57582","1","1",0.258064516129032,"2850-57568_2850-57582"
"CHR-96","CHR-110","2850-57568","2850-57742","1","1",0.232258064516129,"2850-57568_2850-57742"
"CHR-96","CHR-112","2850-57568","2850-57647","1","1",0.258064516129032,"2850-57568_2850-57647"
"CHR-96","CHR-99","2850-57568","2850-57578","1","1",0.258064516129032,"2850-57568_2850-57578"
"CHR-96","CHR-11","2850-57568","2850-57733","1","1",0.258064516129032,"2850-57568_2850-57733"
"CHR-96","CHR-148","2850-57568","2850-57582","1","1",0.258064516129032,"2850-57568_2850-57582"
"CHR-96","CHR-128","2850-57568","2850-57577","1","1",0.258064516129032,"2850-57568_2850-57577"
"CHR-96","CHR-145","2850-57568","unb-CHR-145","1","1",0.258064516129032,"2850-57568_unb-CHR-145"
"CHR-96","CHR-27","2850-57568","2850-57808","1","2",0.22258064516129,"2850-57568_2850-57808"
"CHR-96","CHR-109","2850-57568","2850-57731","1","2",0.238709677419355,"2850-57568_2850-57731"
"CHR-96","CHR-102","2850-57568","2640-97589","1","2",0.229032258064516,"2850-57568_2640-97589"
"CHR-96","CHR-96","2850-57568","2850-57806","1","2",0.258064516129032,"2850-57568_2850-57806"
"CHR-96","CHR-139","2850-57568","2850-57579","1","2",0.241935483870968,"2850-57568_2850-57579"
"CHR-96","CHR-19","2850-57568","2850-57589","1","2",0.254838709677419,"2850-57568_2850-57589"
"CHR-96","CHR-9","2850-57568","unb-CHR-7and9","1","2",0.258064516129032,"2850-57568_unb-CHR-7and9"
"CHR-96","CHR-4","2850-57568","2811-83208","1","2",0.258064516129032,"2850-57568_2811-83208"
"CHR-96","CHR-33","2850-57568","2850-57669","1","2",0.258064516129032,"2850-57568_2850-57669"
"CHR-96","CHR-45","2850-57568","2850-57653","1","2",0.258064516129032,"2850-57568_2850-57653"
"CHR-96","CHR-151","2850-57568","2850-57570","1","2",0.258064516129032,"2850-57568_2850-57570"
"CHR-96","CHR-39","2850-57568","2850-57620","1","2",0.258064516129032,"2850-57568_2850-57620"
"CHR-96","CHR-95","2850-57568","2850-57881","1","2",0.238709677419355,"2850-57568_2850-57881"
"CHR-96","CHR-16","2850-57568","2850-57581","1","2",0.235483870967742,"2850-57568_2850-57581"
"CHR-96","CHR-115","2850-57568","2850-57745","1","2",0.248387096774194,"2850-57568_2850-57745"
"CHR-96","CHR-78","2850-57568","2850-57744","1","2",0.258064516129032,"2850-57568_2850-57744"
"CHR-96","CHR-77","2850-57568","unb-CHR-77","1","2",0.238709677419355,"2850-57568_unb-CHR-77"
